id,sex,race,polviews,cappun,degree2,age
423,2,1,4,1,0,45
424,1,1,5,1,0,20
425,1,1,6,1,0,78
426,1,1,5,8,0,52
427,1,1,4,1,0,39
428,2,1,4,2,0,81
429,2,3,8,2,0,36
430,2,3,4,1,0,51
431,2,1,4,1,1,78
432,2,3,4,2,0,25
434,1,1,3,1,1,36
435,2,1,4,1,1,33
436,1,1,5,1,0,51
437,2,1,4,1,0,47
438,2,1,5,1,0,21
439,2,1,4,1,0,59
441,2,1,3,1,0,23
442,1,1,2,1,0,76
443,2,1,5,1,0,40
444,2,1,6,8,0,38
445,2,1,7,2,0,66
446,2,1,8,1,0,73
447,1,1,4,8,0,80
448,2,1,8,1,0,57
449,2,1,1,1,0,78
450,2,1,6,1,0,66
451,1,1,6,1,0,88
452,2,1,4,1,0,58
453,1,1,3,1,0,39
454,2,1,5,2,0,31
455,2,1,5,2,1,51
456,1,1,2,1,1,37
457,2,1,4,1,0,32
458,2,1,3,1,0,73
459,1,1,6,1,1,47
460,2,1,5,1,1,71
461,1,1,4,1,0,42
462,2,1,4,1,0,75
463,2,1,8,2,0,72
464,2,1,6,1,1,63
465,2,1,4,1,0,89
466,1,1,8,1,0,49
467,1,1,3,1,0,64
468,2,1,4,1,0,64
469,1,1,4,1,0,46
470,2,1,5,2,0,76
471,2,1,6,1,0,72
472,2,1,6,1,0,77
475,2,1,3,1,0,27
476,2,1,3,1,0,21
477,2,3,3,1,1,32
478,1,1,8,1,1,40
479,2,1,6,1,1,45
480,2,3,4,1,0,26
481,2,1,5,1,0,84
482,2,1,5,1,1,46
483,2,1,7,1,1,32
484,1,1,6,1,1,36
485,2,1,3,1,0,21
486,2,1,4,1,0,30
487,2,1,4,1,0,23
488,2,1,6,1,0,51
490,1,1,4,1,1,40
491,1,1,3,1,1,51
492,2,1,4,2,1,54
493,2,1,6,1,0,61
494,1,3,4,1,1,27
495,2,1,6,8,0,55
496,1,2,3,2,0,33
497,2,1,6,1,0,61
498,2,1,3,1,0,38
499,2,1,5,1,0,36
500,2,1,6,1,0,50
501,2,1,6,1,0,67
502,2,1,3,8,0,81
504,1,1,2,2,1,63
505,2,1,2,1,1,43
507,1,1,2,1,0,47
508,2,1,3,1,0,44
509,1,1,2,1,0,28
510,2,1,5,1,0,32
511,1,1,8,1,0,20
512,1,1,6,1,0,50
513,2,1,5,1,0,31
515,2,1,4,1,0,62
516,1,1,5,1,0,66
517,1,1,4,1,0,29
518,1,1,3,1,0,30
519,1,2,1,1,0,34
520,2,2,3,2,0,63
522,2,2,4,1,0,55
523,2,2,4,1,0,39
524,1,2,2,1,0,36
525,2,1,6,1,1,77
526,1,1,3,1,0,39
527,2,1,2,2,1,28
528,1,1,1,2,0,23
529,1,1,2,1,0,21
530,1,1,3,1,0,63
531,2,1,5,1,0,46
532,1,1,4,1,1,42
533,2,1,2,2,1,39
534,2,1,5,2,0,77
536,2,1,7,1,0,28
537,1,1,4,2,0,87
540,1,1,6,1,1,49
542,2,3,5,1,1,56
543,1,1,4,1,0,28
544,2,1,2,2,0,30
545,1,1,6,1,0,24
546,2,1,3,1,1,37
547,2,1,4,2,0,48
549,2,1,6,1,0,77
550,2,1,6,1,1,73
551,2,1,6,1,0,65
552,1,1,5,1,0,74
553,2,1,3,1,0,22
554,1,1,4,1,0,19
555,1,1,7,1,0,49
557,2,1,4,1,0,74
558,2,1,4,1,0,89
559,1,1,4,1,0,36
560,1,1,6,1,0,35
561,2,1,5,1,0,36
562,2,1,2,1,0,37
563,2,1,6,1,0,53
564,1,1,3,1,0,74
565,1,1,5,1,0,55
566,1,1,6,1,1,39
567,2,1,4,8,0,89
568,2,1,4,8,0,74
569,1,1,4,2,0,89
570,1,1,5,1,0,72
571,2,1,5,1,1,52
572,2,1,3,1,0,38
573,1,1,6,1,0,52
574,1,1,4,1,0,76
575,2,1,4,2,0,58
577,1,1,3,1,0,43
578,1,1,5,2,0,24
579,2,1,8,1,0,74
580,2,1,4,1,0,56
581,2,1,5,1,0,73
582,1,1,3,1,0,39
583,1,1,6,1,0,87
585,2,1,4,8,0,28
586,1,1,6,1,0,40
587,1,1,4,1,0,24
588,1,1,4,1,0,49
589,2,1,5,1,0,42
590,1,1,4,1,0,64
591,2,1,4,1,0,63
592,2,1,4,1,0,58
593,2,1,4,1,0,59
594,1,1,4,1,0,47
595,2,1,8,8,0,88
596,1,1,3,8,0,82
597,1,1,5,8,0,87
599,1,1,3,1,0,43
600,2,1,4,8,0,35
601,1,1,3,8,0,35
602,2,1,5,1,0,20
603,1,1,4,2,0,37
604,2,1,5,1,0,24
605,2,1,2,2,0,62
606,2,1,6,2,1,28
607,2,1,5,1,0,51
608,2,1,4,1,0,44
609,1,1,5,1,0,36
610,2,1,2,1,0,77
611,1,1,3,1,1,44
612,1,1,4,1,0,73
613,1,1,5,1,1,28
614,1,1,5,1,0,51
615,2,1,4,1,0,37
616,1,1,4,1,0,64
617,2,1,4,1,0,74
619,2,1,6,1,0,69
620,1,1,4,1,0,33
621,2,1,6,2,0,56
622,2,1,3,1,0,40
624,1,1,4,1,0,34
625,1,1,4,1,0,47
626,1,1,4,8,0,87
627,1,1,5,2,0,60
628,2,1,8,1,0,70
629,1,1,5,1,0,43
630,2,1,4,8,1,43
631,2,1,2,1,0,21
632,2,1,4,2,0,72
633,2,1,4,8,0,81
634,2,1,5,2,0,82
635,2,1,8,8,0,86
636,1,1,4,2,0,27
637,2,1,8,1,0,77
638,1,1,5,1,0,71
640,1,1,4,8,1,39
641,1,1,4,1,0,45
642,2,1,8,8,0,35
643,2,1,4,1,0,42
644,1,1,6,1,0,65
645,1,1,2,8,1,26
646,1,1,5,1,0,45
647,2,1,4,2,0,46
648,2,1,4,2,0,47
649,2,1,2,2,0,27
650,1,1,2,8,0,30
651,2,1,3,1,0,25
652,2,1,4,1,1,29
653,2,1,3,1,0,52
654,2,1,4,2,0,39
655,2,1,6,1,0,52
656,2,1,5,1,0,99
657,2,1,4,1,0,51
658,1,1,6,2,1,28
660,2,1,4,1,0,48
662,2,1,5,1,0,31
664,2,1,5,1,0,37
665,1,1,7,1,0,55
666,2,1,5,1,0,40
667,1,1,5,1,0,20
668,1,2,9,1,0,46
669,1,1,7,2,0,72
670,2,2,5,2,0,27
671,2,1,6,1,0,79
672,1,1,5,1,0,73
673,2,2,4,2,0,75
674,1,1,4,2,0,72
675,1,1,4,2,0,75
676,1,1,6,1,0,63
677,2,1,4,1,0,21
678,1,1,7,1,0,41
679,1,1,3,1,0,33
680,1,2,3,1,0,21
681,2,2,6,1,0,29
683,2,1,4,1,0,18
684,1,1,6,1,0,73
685,1,1,4,1,0,47
686,2,1,6,1,0,73
687,1,2,5,2,0,58
688,2,2,4,2,0,40
689,1,2,4,2,0,81
690,1,1,4,1,0,41
691,1,1,5,1,0,73
692,1,1,3,1,1,33
693,2,1,7,1,1,52
694,2,1,4,1,0,34
695,2,1,4,1,0,58
696,2,1,4,1,0,47
697,1,1,4,1,1,79
698,2,2,7,1,0,43
699,2,1,3,1,0,63
700,1,1,6,1,0,85
701,2,1,4,1,0,45
702,1,1,2,1,0,26
703,1,1,6,1,0,42
704,1,1,6,1,0,41
705,1,1,6,1,0,53
706,1,1,5,1,0,68
707,2,1,5,2,0,49
708,1,1,6,1,0,41
709,1,1,7,1,0,81
710,2,1,5,1,0,65
711,2,1,5,1,0,42
712,1,2,6,1,0,26
713,2,1,4,1,0,20
714,2,1,5,1,0,57
715,2,1,4,1,0,28
716,2,1,3,1,0,50
717,2,1,3,2,1,43
718,2,1,5,1,1,30
719,1,1,5,8,0,58
720,2,1,3,2,1,22
721,1,1,3,1,0,63
722,2,1,3,1,0,65
723,2,1,2,1,0,50
724,2,1,6,1,0,75
725,2,1,8,1,0,54
726,1,1,6,1,1,33
727,1,1,6,1,0,36
728,1,1,6,1,1,82
729,2,1,3,1,1,36
730,2,1,6,1,0,48
731,2,1,5,1,1,27
732,1,1,3,1,0,49
733,1,1,3,1,0,55
734,2,1,4,1,0,37
735,1,3,7,1,0,28
736,2,3,4,1,0,21
737,2,2,2,1,0,39
738,1,3,5,2,0,63
739,1,3,5,2,0,23
740,2,1,6,1,0,18
741,1,1,6,1,0,24
742,2,3,8,2,0,56
743,1,1,6,1,0,31
745,1,2,7,2,0,47
746,2,1,6,2,0,81
747,2,1,4,2,0,76
748,2,3,7,1,1,48
749,2,3,8,2,0,54
750,2,3,4,1,0,23
751,2,3,7,1,0,60
752,2,3,8,1,0,75
753,2,1,4,1,0,75
754,1,1,5,1,0,83
755,1,1,7,1,0,46
756,2,3,4,2,1,35
757,1,2,6,1,0,34
758,1,2,5,1,0,67
760,2,1,6,1,0,84
761,1,2,4,1,0,47
762,2,1,6,1,0,62
763,1,1,4,1,0,62
764,2,3,5,1,0,81
765,1,1,5,1,0,42
766,2,1,2,2,0,46
767,2,1,2,2,0,40
768,2,1,2,1,0,48
769,2,3,5,2,1,46
770,1,1,4,1,0,20
771,2,1,8,1,0,73
772,2,1,4,8,0,38
773,1,1,4,1,0,38
774,2,1,8,1,0,76
775,1,1,5,1,0,56
777,1,1,2,1,0,74
779,1,1,4,1,0,57
780,2,1,6,1,0,58
781,2,1,4,2,0,76
782,1,1,6,2,1,35
783,2,1,6,2,0,36
784,2,1,2,9,0,39
785,2,1,4,2,0,20
786,1,1,5,1,1,43
787,2,1,4,1,0,39
788,1,1,2,1,1,48
789,2,1,6,1,0,52
790,1,1,6,1,1,82
791,1,1,4,1,1,44
792,1,1,4,1,0,38
793,2,1,5,2,0,44
794,2,1,4,1,0,24
795,1,1,4,1,1,35
796,1,1,4,1,0,48
797,2,1,2,1,0,78
798,1,1,3,1,0,24
799,2,1,5,2,0,29
800,2,1,6,1,0,36
801,2,1,4,1,0,66
802,2,1,6,1,0,54
803,2,1,4,1,1,37
804,1,1,6,1,1,55
805,2,1,3,8,0,72
806,2,1,5,1,0,78
807,2,1,2,1,0,42
808,2,1,5,1,0,75
809,2,1,5,1,1,38
810,1,3,6,2,0,40
811,2,1,6,8,1,62
812,1,1,5,1,1,30
813,1,1,4,2,1,49
814,1,1,4,1,1,43
815,1,2,8,8,0,41
816,2,2,6,8,0,57
817,2,2,2,1,0,30
818,1,3,8,1,0,36
819,2,2,4,1,0,52
820,2,1,3,1,0,99
821,1,1,2,2,1,47
822,1,1,2,2,1,32
823,1,1,2,1,0,74
824,2,1,4,1,1,35
825,2,1,3,1,1,31
826,1,1,6,1,1,40
827,2,3,6,1,1,30
828,1,1,2,1,0,51
829,1,1,3,1,0,76
830,1,2,6,1,0,56
831,1,2,3,1,0,24
832,1,1,2,2,1,38
833,1,1,8,1,0,74
834,2,1,2,1,1,60
835,2,1,4,2,0,63
836,1,1,5,1,0,64
837,1,1,4,8,0,51
838,2,3,4,2,1,31
839,2,1,7,1,0,74
840,1,1,4,1,1,33
841,1,1,4,1,1,27
842,2,2,4,1,0,22
843,1,1,5,1,0,40
844,2,1,3,2,0,21
845,2,1,4,8,0,33
846,2,3,3,2,0,43
848,2,1,3,1,1,25
849,1,1,4,1,1,35
850,2,1,5,1,1,22
852,1,1,2,2,1,39
853,1,1,6,2,1,40
854,1,1,5,1,0,66
855,1,1,1,2,0,19
856,1,1,4,1,0,69
857,1,1,5,1,1,34
858,2,1,6,2,0,19
859,2,1,2,2,1,43
860,2,1,4,1,0,77
861,1,1,6,1,1,89
862,1,1,6,1,1,44
863,2,3,5,1,1,41
864,2,1,2,8,1,53
865,2,1,6,1,0,53
866,2,3,2,1,1,38
867,1,1,4,1,0,32
868,2,3,4,1,0,39
869,2,1,4,1,1,55
870,2,1,5,2,0,47
871,1,1,3,2,0,43
872,1,1,3,1,0,37
873,1,1,5,1,0,46
874,1,1,5,1,0,32
875,2,1,3,1,0,57
876,2,1,3,1,1,28
878,1,1,4,2,1,56
879,2,1,2,8,0,33
880,1,3,4,1,0,26
881,2,1,3,2,0,45
882,1,1,8,1,0,44
883,2,1,5,1,0,54
884,2,1,3,1,0,46
885,2,1,4,1,0,55
886,1,1,7,1,1,36
887,2,1,2,1,0,25
888,1,1,4,2,0,38
889,2,1,5,2,0,54
890,2,1,2,2,0,25
891,2,1,5,1,0,35
892,2,1,4,1,0,36
893,2,1,8,1,0,68
894,2,1,4,1,0,47
895,1,1,4,1,0,49
896,1,1,6,1,0,52
897,1,1,5,1,0,46
898,1,1,3,1,0,39
899,2,1,2,1,0,67
900,2,1,4,8,1,27
901,2,1,3,1,0,71
903,2,1,6,1,0,68
905,2,2,4,2,0,26
906,2,2,2,1,0,38
907,2,2,2,1,0,47
909,2,1,4,1,0,57
910,1,1,5,1,1,38
911,1,1,4,2,0,29
912,1,1,5,2,1,47
913,2,1,4,1,0,38
914,2,1,4,1,0,40
915,2,1,6,1,0,38
916,1,1,5,2,0,22
917,1,1,4,1,0,40
918,2,2,3,1,0,43
919,2,1,2,1,0,42
920,2,2,4,2,0,29
921,2,1,4,2,0,26
922,1,2,4,1,0,45
923,1,1,4,1,0,60
924,2,1,6,1,0,72
925,2,1,3,1,0,31
926,2,1,4,1,0,31
927,1,1,6,1,0,47
929,2,1,4,1,0,28
930,1,1,6,1,1,36
931,1,1,3,1,1,45
932,1,1,1,2,1,53
933,1,1,3,2,1,58
934,2,1,2,1,0,44
935,1,3,2,2,1,49
936,2,1,4,1,0,71
937,2,1,4,2,1,57
938,2,1,6,1,1,66
939,2,1,5,1,0,39
940,2,1,5,1,0,48
941,2,1,4,1,0,38
943,2,1,4,2,0,77
944,2,1,5,2,0,32
945,2,3,2,1,0,22
946,2,2,3,1,0,30
947,1,2,4,2,0,41
948,2,2,1,8,0,34
949,2,2,6,1,0,26
950,2,1,1,2,1,39
951,2,1,6,1,1,41
953,2,1,6,1,0,68
954,2,1,4,8,0,41
955,2,2,6,1,0,56
956,2,2,2,1,0,85
957,1,2,1,1,0,65
958,2,2,4,8,0,35
959,1,2,4,2,0,32
960,2,2,5,2,0,49
961,1,1,5,1,0,28
962,1,1,5,2,1,45
963,1,1,5,1,1,28
964,2,1,7,8,1,61
965,1,1,5,1,1,35
966,2,1,6,1,0,59
967,2,1,4,1,0,31
968,1,2,3,2,0,61
969,2,2,1,1,0,44
970,1,2,8,1,0,66
971,2,2,5,2,0,24
972,2,2,3,1,0,41
973,1,1,6,1,0,36
974,1,1,4,1,0,80
975,2,1,4,1,0,40
976,2,2,3,2,1,31
977,2,2,6,2,0,43
978,2,2,4,1,0,30
979,1,2,2,1,0,29
980,2,2,5,1,0,65
981,2,1,3,2,0,23
982,2,2,4,1,0,28
983,2,1,5,1,0,70
985,2,2,2,1,1,42
986,2,2,3,2,1,31
987,2,1,2,2,1,50
988,1,1,5,1,0,50
989,2,1,4,1,0,29
990,1,1,5,1,1,25
991,2,1,2,2,1,39
993,2,2,7,2,0,66
995,1,1,6,1,1,71
996,1,1,4,1,1,38
997,1,1,5,1,1,39
998,2,1,6,1,0,37
999,2,1,5,8,0,80
1000,2,1,2,1,0,38
1001,1,1,2,2,1,65
1002,1,1,4,1,1,58
1003,2,3,6,8,1,51
1004,2,1,8,8,1,40
1005,2,1,4,8,0,35
1006,1,1,2,1,1,41
1007,1,1,4,1,1,30
1008,1,1,2,2,1,47
1009,2,1,2,2,0,49
1010,2,1,3,2,1,36
1011,2,1,4,2,1,43
1012,2,1,4,1,0,35
1013,1,1,6,1,1,70
1014,2,1,2,1,0,37
1016,1,1,6,1,0,58
1017,2,1,3,1,1,23
1018,2,1,5,2,1,30
1019,2,1,5,1,0,18
1020,1,2,4,8,0,32
1021,2,1,6,1,0,41
1022,2,1,8,1,0,67
1023,2,2,6,2,0,61
1024,2,2,6,1,0,75
1025,1,2,4,8,0,41
1026,2,1,5,1,1,27
1027,1,1,6,2,1,63
